item,left,right,Władca,Bohater,Mędrzec,Opiekun,Kochanek,Błazen,Twórca,Odkrywca,Czarodziej,Towarzysz,Niewinny,Buntownik
A1,Opiekun,Odkrywca,0,0,0,-1,0,0,0,1,0,0,0,0
A2,Towarzysz,Władca,1,0,0,0,0,0,0,0,0,-1,0,0
A3,Opiekun,Twórca,0,0,0,-1,0,0,1,0,0,0,0,0
A4,Mędrzec,Bohater,0,1,-1,0,0,0,0,0,0,0,0,0
A5,Władca,Buntownik,-1,0,0,0,0,0,0,0,0,0,0,1
A6,Niewinny,Odkrywca,0,0,0,0,0,0,0,1,0,0,-1,0
A7,Buntownik,Kochanek,0,0,0,0,1,0,0,0,0,0,0,-1
A8,Opiekun,Bohater,0,1,0,-1,0,0,0,0,0,0,0,0
A9,Towarzysz,Czarodziej,0,0,0,0,0,0,0,0,1,-1,0,0
A10,Kochanek,Bohater,0,1,0,0,-1,0,0,0,0,0,0,0
A11,Władca,Błazen,-1,0,0,0,0,1,0,0,0,0,0,0
A12,Niewinny,Czarodziej,0,0,0,0,0,0,0,0,1,0,-1,0
A13,Czarodziej,Mędrzec,0,0,1,0,0,0,0,0,-1,0,0,0
A14,Towarzysz,Twórca,0,0,0,0,0,0,1,0,0,-1,0,0
A15,Błazen,Niewinny,0,0,0,0,0,-1,0,0,0,0,1,0
A16,Odkrywca,Mędrzec,0,0,1,0,0,0,0,-1,0,0,0,0
A17,Kochanek,Buntownik,0,0,0,0,-1,0,0,0,0,0,0,1
A18,Błazen,Twórca,0,0,0,0,0,-1,1,0,0,0,0,0
C1,Władca,Odkrywca,-1,0,0,0,0,0,0,1,0,0,0,0
C2,Mędrzec,Bohater,0,1,-1,0,0,0,0,0,0,0,0,0
C3,Opiekun,Twórca,0,0,0,-1,0,0,1,0,0,0,0,0
C4,Towarzysz,Buntownik,0,0,0,0,0,0,0,0,0,-1,0,1
C5,Kochanek,Niewinny,0,0,0,0,-1,0,0,0,0,0,1,0
C6,Błazen,Czarodziej,0,0,0,0,0,-1,0,0,1,0,0,0
