pytanie,nr_pytania,archetyp,pozycja_w_archetypie,typ_odpowiedzi,zakres,kodowanie
Q1,1,Władca,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q2,2,Władca,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q3,3,Władca,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q4,4,Władca,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q5,5,Bohater,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q6,6,Bohater,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q7,7,Bohater,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q8,8,Bohater,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q9,9,Mędrzec,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q10,10,Mędrzec,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q11,11,Mędrzec,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q12,12,Mędrzec,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q13,13,Opiekun,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q14,14,Opiekun,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q15,15,Opiekun,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q16,16,Opiekun,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q17,17,Kochanek,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q18,18,Kochanek,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q19,19,Kochanek,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q20,20,Kochanek,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q21,21,Błazen,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q22,22,Błazen,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q23,23,Błazen,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q24,24,Błazen,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q25,25,Twórca,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q26,26,Twórca,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q27,27,Twórca,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q28,28,Twórca,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q29,29,Odkrywca,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q30,30,Odkrywca,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q31,31,Odkrywca,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q32,32,Odkrywca,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q33,33,Czarodziej,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q34,34,Czarodziej,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q35,35,Czarodziej,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q36,36,Czarodziej,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q37,37,Towarzysz,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q38,38,Towarzysz,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q39,39,Towarzysz,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q40,40,Towarzysz,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q41,41,Niewinny,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q42,42,Niewinny,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q43,43,Niewinny,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q44,44,Niewinny,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q45,45,Buntownik,1,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q46,46,Buntownik,2,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q47,47,Buntownik,3,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
Q48,48,Buntownik,4,skala 0..5 (int),"0,1,2,3,4,5",wartość punktowa = wpisana liczba
